"idclient","idcompany","idmember","idaccount","idcategory","defaultcategory","period_yyyymm","monthly_total"
1,"52","100007",INT4,Other,Other,"2023-10",11100.05
1,"52","100007",INT5,Other,Other,"2023-10",2256.58
1,"52","100007",INT5,Other,Other,"2023-09",543.11
1,"52","100007",INT4,Other,Other,"2023-09",9305.34
1,"52","100007",INT4,Other,Other,"2023-08",10268.10
1,"52","100007",INT5,Other,Other,"2023-08",1366.41
1,"52","100007",INT5,Other,Other,"2023-07",5690.18
1,"52","100007",INT4,Other,Other,"2023-07",11314.94
1,"52","100007",INT4,Other,Other,"2023-06",13926.51
1,"52","100007",INT5,Other,Other,"2023-06",12569.20
1,"52","100007",INT5,Other,Other,"2023-05",795.04
1,"52","100007",INT4,Other,Other,"2023-05",12455.66
1,"52","100007",INT4,Other,Other,"2023-04",4791.62
1,"52","100007",INT5,Other,Other,"2023-04",256.39
1,"52","101558",INT5,Other,Other,"2026-06",4.52
1,"52","101558",INT4,Other,Other,"2026-06",2.54
1,"52","101558",INT5,Home & rent,Home & rent,"2026-05",0.14
1,"52","101558",INT5,Other,Other,"2026-05",1688.52
1,"52","101558",INT454671,Other,Other,"2026-05",3.33
1,"52","101558",INT4,Other,Other,"2026-05",5552.60
1,"52","101558",INT4,Taxes & fees,Taxes & fees,"2026-05",0.04
1,"52","101558",INT4,Other,Other,"2026-04",10560.49
1,"52","101558",INT5,Other,Other,"2026-04",2408.36
1,"52","101558",INT454671,Other,Other,"2026-04",722.24
1,"52","101558",INT87742,Other,Other,"2026-04",551.11
1,"52","101558",INT87743,Other,Other,"2026-04",2208.62
1,"52","101558",INT82322,Other,Other,"2026-04",1055.00
1,"52","101558",INT87741,Other,Other,"2026-04",1025.63
1,"52","101558",INT5,Taxes & fees,Taxes & fees,"2026-04",50.00
1,"52","101558",INT454671,Other,Other,"2026-03",721.24
1,"52","101558",INT5,Other,Other,"2026-03",110.09
1,"52","101558",INT87741,Other,Other,"2026-03",2042.34
1,"52","101558",INT82322,Other,Other,"2026-03",255.00
1,"52","101558",INT87743,Other,Other,"2026-03",10352.34
1,"52","101558",INT87742,Other,Other,"2026-03",4419.75
1,"52","101558",INT4,Other,Other,"2026-03",50243.50
1,"52","101558",INT5,Taxes & fees,Taxes & fees,"2026-03",150.00
1,"52","101558",INT454671,Other,Other,"2026-02",621.01
1,"52","101558",INT5,Other,Other,"2026-02",334.69
1,"52","101558",INT4,Other,Other,"2026-02",11708.47
1,"52","101558",INT82322,Other,Other,"2026-02",2267.00
1,"52","101558",INT87743,Other,Other,"2026-02",6543.79
1,"52","101558",INT87742,Other,Other,"2026-02",1944.20
1,"52","101558",INT87741,Other,Other,"2026-02",598.82
1,"52","101558",INT87742,Other,Other,"2026-01",1321.53
1,"52","101558",INT82322,Other,Other,"2026-01",349.00
1,"52","101558",INT87741,Other,Other,"2026-01",1443.96
1,"52","101558",INT87743,Other,Other,"2026-01",3490.68
1,"52","101558",INT4,Other,Other,"2026-01",12949.34
1,"52","101558",INT454671,Other,Other,"2026-01",1073.54
1,"52","101558",INT5,Other,Other,"2026-01",1589.46
1,"52","101558",INT454671,Other,Other,"2025-12",1681.49
1,"52","101558",INT5,Other,Other,"2025-12",4918.12
1,"52","101558",INT4,Other,Other,"2025-12",36393.79
1,"52","101558",INT87741,Other,Other,"2025-12",804.17
1,"52","101558",INT87742,Other,Other,"2025-12",730.50
1,"52","101558",INT82322,Other,Other,"2025-12",130.00
1,"52","101558",INT87743,Other,Other,"2025-12",1789.52
1,"52","101558",INT87741,Other,Other,"2025-11",827.80
1,"52","101558",INT4,Other,Other,"2025-11",11195.92
1,"52","101558",INT5,Other,Other,"2025-11",2589.89
